"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-18","low_c_west","low","west","c",24.6719598765432,NA,"temp.max"
"2017-02-18","low_u_east","low","east","u",22.9907175925926,NA,"temp.max"
"2017-02-18","low_u_west","low","west","u",24.0122183641975,NA,"temp.max"
"2017-02-19","high_c_east","high","east","c",20.175625,NA,"temp.max"
"2017-02-19","high_c_west","high","west","c",20.0090674603175,NA,"temp.max"
"2017-02-19","high_u_east","high","east","u",19.5573842592593,NA,"temp.max"
"2017-02-19","high_u_west","high","west","u",19.7708630952381,NA,"temp.max"
"2017-02-19","low_c_east","low","east","c",24.7634556878307,NA,"temp.max"
"2017-02-19","low_c_west","low","west","c",25.2261921296296,NA,"temp.max"
"2017-02-19","low_u_east","low","east","u",23.7899421296296,NA,"temp.max"
"2017-02-19","low_u_west","low","west","u",24.4643827160494,NA,"temp.max"
"2017-02-20","high_c_east","high","east","c",20.3711157407407,NA,"temp.max"
"2017-02-20","high_c_west","high","west","c",19.9472056878307,NA,"temp.max"
"2017-02-20","high_u_east","high","east","u",19.9200694444444,NA,"temp.max"
"2017-02-20","high_u_west","high","west","u",19.3636838624339,NA,"temp.max"
"2017-02-20","low_c_east","low","east","c",25.4422751322751,NA,"temp.max"
"2017-02-20","low_c_west","low","west","c",23.7349537037037,NA,"temp.max"
"2017-02-20","low_u_east","low","east","u",24.4893904320988,NA,"temp.max"
"2017-02-20","low_u_west","low","west","u",23.1472453703704,NA,"temp.max"
"2017-02-21","high_c_east","high","east","c",20.6599768518519,NA,"temp.max"
"2017-02-21","high_c_west","high","west","c",20.6912599206349,NA,"temp.max"
"2017-02-21","high_u_east","high","east","u",20.1853703703704,NA,"temp.max"
"2017-02-21","high_u_west","high","west","u",19.9469841269841,NA,"temp.max"
"2017-02-21","low_c_east","low","east","c",25.5670006613757,NA,"temp.max"
"2017-02-21","low_c_west","low","west","c",24.5498958333333,NA,"temp.max"
"2017-02-21","low_u_east","low","east","u",24.7915779320988,NA,"temp.max"
"2017-02-21","low_u_west","low","west","u",23.6517862654321,NA,"temp.max"
