"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-03-06","high_u_west","high","west","u",21.238253968254,NA,"temp.max"
"2017-03-06","low_c_east","low","east","c",23.4345238095238,NA,"temp.max"
"2017-03-06","low_c_west","low","west","c",29.4423148148148,NA,"temp.max"
"2017-03-06","low_u_east","low","east","u",22.6928703703704,NA,"temp.max"
"2017-03-06","low_u_west","low","west","u",26.0349074074074,NA,"temp.max"
"2017-03-07","high_c_east","high","east","c",20.8874444444444,NA,"temp.max"
"2017-03-07","high_c_west","high","west","c",22.9410317460318,NA,"temp.max"
"2017-03-07","high_u_east","high","east","u",19.9241666666667,NA,"temp.max"
"2017-03-07","high_u_west","high","west","u",21.5897619047619,NA,"temp.max"
"2017-03-07","low_c_east","low","east","c",24.0879365079365,NA,"temp.max"
"2017-03-07","low_c_west","low","west","c",29.682962962963,NA,"temp.max"
"2017-03-07","low_u_east","low","east","u",23.3806481481482,NA,"temp.max"
"2017-03-07","low_u_west","low","west","u",26.235,NA,"temp.max"
"2017-03-08","high_c_east","high","east","c",19.9103333333333,NA,"temp.max"
"2017-03-08","high_c_west","high","west","c",26.2553174603175,NA,"temp.max"
"2017-03-08","high_u_east","high","east","u",19.4722222222222,NA,"temp.max"
"2017-03-08","high_u_west","high","west","u",23.6546031746032,NA,"temp.max"
"2017-03-08","low_c_east","low","east","c",23.3234126984127,NA,"temp.max"
"2017-03-08","low_c_west","low","west","c",31.7093518518519,NA,"temp.max"
"2017-03-08","low_u_east","low","east","u",22.8562037037037,NA,"temp.max"
"2017-03-08","low_u_west","low","west","u",27.689537037037,NA,"temp.max"
"2017-03-09","high_c_east","high","east","c",21.8516666666667,NA,"temp.max"
"2017-03-09","high_c_west","high","west","c",25.2883333333333,NA,"temp.max"
"2017-03-09","high_u_east","high","east","u",20.7520833333333,NA,"temp.max"
"2017-03-09","high_u_west","high","west","u",23.2176984126984,NA,"temp.max"
"2017-03-09","low_c_east","low","east","c",27.5503174603175,NA,"temp.max"
"2017-03-09","low_c_west","low","west","c",31.1542592592592,NA,"temp.max"
"2017-03-09","low_u_east","low","east","u",25.3324074074074,NA,"temp.max"
"2017-03-09","low_u_west","low","west","u",27.9146296296296,NA,"temp.max"
"2017-03-10","high_c_east","high","east","c",21.1827777777778,NA,"temp.max"
"2017-03-10","high_c_west","high","west","c",26.7088888888889,NA,"temp.max"
"2017-03-10","high_u_east","high","east","u",20.1501388888889,NA,"temp.max"
"2017-03-10","high_u_west","high","west","u",24.1230158730159,NA,"temp.max"
"2017-03-10","low_c_east","low","east","c",25.61,NA,"temp.max"
"2017-03-10","low_c_west","low","west","c",32.8817592592593,NA,"temp.max"
"2017-03-10","low_u_east","low","east","u",23.9188888888889,NA,"temp.max"
"2017-03-10","low_u_west","low","west","u",28.3314814814815,NA,"temp.max"
"2017-03-11","high_c_east","high","east","c",20.901,NA,"temp.max"
"2017-03-11","high_c_west","high","west","c",22.0451587301587,NA,"temp.max"
"2017-03-11","high_u_east","high","east","u",20.0370833333333,NA,"temp.max"
"2017-03-11","high_u_west","high","west","u",20.6693650793651,NA,"temp.max"
"2017-03-11","low_c_east","low","east","c",26.3951587301587,NA,"temp.max"
"2017-03-11","low_c_west","low","west","c",26.4878703703704,NA,"temp.max"
"2017-03-11","low_u_east","low","east","u",24.7510185185185,NA,"temp.max"
"2017-03-11","low_u_west","low","west","u",24.4058333333333,NA,"temp.max"
"2017-03-12","high_c_east","high","east","c",21.7466666666667,NA,"temp.max"
"2017-03-12","high_c_west","high","west","c",26.7013492063492,NA,"temp.max"
"2017-03-12","high_u_east","high","east","u",20.5013888888889,NA,"temp.max"
"2017-03-12","high_u_west","high","west","u",24.2743650793651,NA,"temp.max"
"2017-03-12","low_c_east","low","east","c",27.5575396825397,NA,"temp.max"
"2017-03-12","low_c_west","low","west","c",29.7139814814815,NA,"temp.max"
"2017-03-12","low_u_east","low","east","u",24.8721296296296,NA,"temp.max"
"2017-03-12","low_u_west","low","west","u",26.5607407407407,NA,"temp.max"
"2017-03-13","high_c_east","high","east","c",22.4271111111111,NA,"temp.max"
"2017-03-13","high_c_west","high","west","c",26.3536507936508,NA,"temp.max"
"2017-03-13","high_u_east","high","east","u",20.9605555555556,NA,"temp.max"
"2017-03-13","high_u_west","high","west","u",23.8842063492063,NA,"temp.max"
"2017-03-13","low_c_east","low","east","c",29.2622222222222,NA,"temp.max"
"2017-03-13","low_c_west","low","west","c",32.537037037037,NA,"temp.max"
"2017-03-13","low_u_east","low","east","u",26.7865740740741,NA,"temp.max"
"2017-03-13","low_u_west","low","west","u",28.0061111111111,NA,"temp.max"
"2017-03-14","high_c_east","high","east","c",22.7516666666667,NA,"temp.max"
"2017-03-14","high_c_west","high","west","c",23.363253968254,NA,"temp.max"
"2017-03-14","high_u_east","high","east","u",21.2468055555556,NA,"temp.max"
"2017-03-14","high_u_west","high","west","u",21.790873015873,NA,"temp.max"
"2017-03-14","low_c_east","low","east","c",29.8997619047619,NA,"temp.max"
"2017-03-14","low_c_west","low","west","c",29.2558333333333,NA,"temp.max"
"2017-03-14","low_u_east","low","east","u",27.020462962963,NA,"temp.max"
"2017-03-14","low_u_west","low","west","u",25.1121296296296,NA,"temp.max"
"2017-03-15","high_c_east","high","east","c",21.3934444444444,NA,"temp.max"
"2017-03-15","high_c_west","high","west","c",26.1852380952381,NA,"temp.max"
"2017-03-15","high_u_east","high","east","u",20.7577777777778,NA,"temp.max"
"2017-03-15","high_u_west","high","west","u",23.3624603174603,NA,"temp.max"
"2017-03-15","low_c_east","low","east","c",25.255873015873,NA,"temp.max"
"2017-03-15","low_c_west","low","west","c",29.555,NA,"temp.max"
"2017-03-15","low_u_east","low","east","u",24.1148148148148,NA,"temp.max"
"2017-03-15","low_u_west","low","west","u",26.0567592592593,NA,"temp.max"
"2017-03-16","high_c_east","high","east","c",27.6392222222222,NA,"temp.max"
"2017-03-16","high_c_west","high","west","c",24.5834920634921,NA,"temp.max"
"2017-03-16","high_u_east","high","east","u",24.4131944444444,NA,"temp.max"
"2017-03-16","high_u_west","high","west","u",22.3684920634921,NA,"temp.max"
"2017-03-16","low_c_east","low","east","c",32.7346031746032,NA,"temp.max"
"2017-03-16","low_c_west","low","west","c",32.2426851851852,NA,"temp.max"
"2017-03-16","low_u_east","low","east","u",29.1519444444444,NA,"temp.max"
"2017-03-16","low_u_west","low","west","u",28.6498148148148,NA,"temp.max"
"2017-03-17","high_c_east","high","east","c",24.1053333333333,NA,"temp.max"
"2017-03-17","high_c_west","high","west","c",23.2389682539683,NA,"temp.max"
"2017-03-17","high_u_east","high","east","u",22.4354166666667,NA,"temp.max"
"2017-03-17","high_u_west","high","west","u",21.825,NA,"temp.max"
"2017-03-17","low_c_east","low","east","c",30.4218253968254,NA,"temp.max"
"2017-03-17","low_c_west","low","west","c",31.2559259259259,NA,"temp.max"
"2017-03-17","low_u_east","low","east","u",27.8612037037037,NA,"temp.max"
"2017-03-17","low_u_west","low","west","u",27.2993518518518,NA,"temp.max"
"2017-03-18","high_c_east","high","east","c",22.3245555555556,NA,"temp.max"
"2017-03-18","high_c_west","high","west","c",24.5545238095238,NA,"temp.max"
"2017-03-18","high_u_east","high","east","u",21.1397222222222,NA,"temp.max"
