"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-02-21","low_u_east","low","east","u",21.6721296296296,NA,"temp.min"
"2017-02-21","low_u_west","low","west","u",20.4297222222222,NA,"temp.min"
"2017-02-22","high_c_east","high","east","c",17.0078888888889,NA,"temp.min"
"2017-02-22","high_c_west","high","west","c",15.8505555555556,NA,"temp.min"
"2017-02-22","high_u_east","high","east","u",17.1056944444444,NA,"temp.min"
"2017-02-22","high_u_west","high","west","u",15.2584126984127,NA,"temp.min"
"2017-02-22","low_c_east","low","east","c",21.3572222222222,NA,"temp.min"
"2017-02-22","low_c_west","low","west","c",19.2087037037037,NA,"temp.min"
"2017-02-22","low_u_east","low","east","u",21.6042592592593,NA,"temp.min"
"2017-02-22","low_u_west","low","west","u",19.5137962962963,NA,"temp.min"
"2017-02-23","high_c_east","high","east","c",16.2081111111111,NA,"temp.min"
"2017-02-23","high_c_west","high","west","c",17.9197619047619,NA,"temp.min"
"2017-02-23","high_u_east","high","east","u",16.3320833333333,NA,"temp.min"
"2017-02-23","high_u_west","high","west","u",18.0011904761905,NA,"temp.min"
"2017-02-23","low_c_east","low","east","c",21.2516666666667,NA,"temp.min"
"2017-02-23","low_c_west","low","west","c",20.1838888888889,NA,"temp.min"
"2017-02-23","low_u_east","low","east","u",21.4413888888889,NA,"temp.min"
"2017-02-23","low_u_west","low","west","u",20.4497222222222,NA,"temp.min"
"2017-02-24","high_c_east","high","east","c",16.851,NA,"temp.min"
"2017-02-24","high_c_west","high","west","c",17.9398412698413,NA,"temp.min"
"2017-02-24","high_u_east","high","east","u",16.9809722222222,NA,"temp.min"
"2017-02-24","high_u_west","high","west","u",17.8720634920635,NA,"temp.min"
"2017-02-24","low_c_east","low","east","c",21.142619047619,NA,"temp.min"
"2017-02-24","low_c_west","low","west","c",21.0217592592593,NA,"temp.min"
"2017-02-24","low_u_east","low","east","u",21.4175,NA,"temp.min"
"2017-02-24","low_u_west","low","west","u",21.3438888888889,NA,"temp.min"
"2017-02-25","high_c_east","high","east","c",17.6645555555556,NA,"temp.min"
"2017-02-25","high_c_west","high","west","c",16.9405555555556,NA,"temp.min"
"2017-02-25","high_u_east","high","east","u",17.7244444444445,NA,"temp.min"
"2017-02-25","high_u_west","high","west","u",16.7538095238095,NA,"temp.min"
"2017-02-25","low_c_east","low","east","c",21.4799206349206,NA,"temp.min"
"2017-02-25","low_c_west","low","west","c",19.8864814814815,NA,"temp.min"
"2017-02-25","low_u_east","low","east","u",21.6800925925926,NA,"temp.min"
"2017-02-25","low_u_west","low","west","u",20.2157407407407,NA,"temp.min"
"2017-02-26","high_c_east","high","east","c",17.0892222222222,NA,"temp.min"
"2017-02-26","high_c_west","high","west","c",18.1643650793651,NA,"temp.min"
"2017-02-26","high_u_east","high","east","u",17.1891666666667,NA,"temp.min"
"2017-02-26","high_u_west","high","west","u",18.1813492063492,NA,"temp.min"
"2017-02-26","low_c_east","low","east","c",21.2857142857143,NA,"temp.min"
"2017-02-26","low_c_west","low","west","c",20.5132407407407,NA,"temp.min"
"2017-02-26","low_u_east","low","east","u",21.4494444444444,NA,"temp.min"
"2017-02-26","low_u_west","low","west","u",20.8590740740741,NA,"temp.min"
"2017-02-27","high_c_east","high","east","c",16.6941111111111,NA,"temp.min"
"2017-02-27","high_c_west","high","west","c",17.5662698412698,NA,"temp.min"
"2017-02-27","high_u_east","high","east","u",16.7840277777778,NA,"temp.min"
"2017-02-27","high_u_west","high","west","u",17.6715873015873,NA,"temp.min"
"2017-02-27","low_c_east","low","east","c",20.6146825396825,NA,"temp.min"
"2017-02-27","low_c_west","low","west","c",20.9305555555556,NA,"temp.min"
